phase,condition,group,note,stages,boundaries,mode,transition_width,fid,sfid,inception_score,total_nfe,noise_sha256,label_sha256,reference,gamma,step
01_static_initial,static_v180_g2p4,static_maturity,full-time static checkpoint reference,v180:2.4,,hard,0.08,55.21220067567128,217.70734005628697,44.38997268676758,10402,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v180,2.4,180000
01_static_initial,static_v180_g3p65,static_maturity,full-time static checkpoint reference,v180:3.65,,hard,0.08,55.7819744973354,219.34130706612655,42.16777420043945,13090,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v180,3.65,180000
01_static_initial,static_v240_g3p35,static_maturity,full-time static checkpoint reference,v240:3.35,,hard,0.08,58.55776241291301,218.3064159335596,40.586360931396484,11800,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v240,3.35,240000
01_static_initial,static_v270_g3,static_maturity,full-time static checkpoint reference,v270:3,,hard,0.08,61.26245513069125,218.7434593442407,37.125057220458984,10966,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v270,3.0,270000
01_static_initial,static_v270_g4,static_maturity,full-time static checkpoint reference,v270:4,,hard,0.08,61.96840814059033,220.4779525877093,38.984493255615234,13054,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v270,4.0,270000
01_static_initial,static_v300_g3p7,static_maturity,full-time static checkpoint reference,v300:3.7,,hard,0.08,62.49654520770389,219.6867033190805,37.55071258544922,12070,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v300,3.7,300000
01_static_initial,static_v400_g3p5,static_maturity,full-time static checkpoint reference,v400:3.5,,hard,0.08,70.09504065246625,218.8486560538048,35.09901809692383,10978,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v400,3.5,400000
01_static_initial,static_v400_g4p4,static_maturity,full-time static checkpoint reference,v400:4.4,,hard,0.08,69.32062000527037,219.26383323449727,33.0285758972168,12418,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v400,4.4,400000
01_static_initial,static_v500_g3,static_maturity,full-time static checkpoint reference,v500:3,,hard,0.08,74.51986547199215,217.98213535235277,32.08518981933594,9910,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v500,3.0,500000
01_static_initial,static_v500_g5p3,static_maturity,full-time static checkpoint reference,v500:5.3,,hard,0.08,76.18468771152152,219.35150100772955,30.104488372802734,12886,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v500,5.3,500000
01_static_initial,static_v600_g5,static_maturity,full-time static checkpoint reference,v600:5,,hard,0.08,79.47343448451005,218.3145421421408,27.913572311401367,12358,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v600,5.0,600000
01_static_initial,static_v600_g7p5,static_maturity,full-time static checkpoint reference,v600:7.5,,hard,0.08,86.90423695649707,221.31932318734516,25.09176254272461,16288,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v600,7.5,600000
01_static_initial,static_v180_g3p05,static_maturity,full-time static checkpoint reference,v180:3.05,,hard,0.08,54.7064333488791,217.73189763655705,42.94047927856445,11818,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v180,3.05,180000
01_static_initial,static_v240_g2p65,static_maturity,full-time static checkpoint reference,v240:2.65,,hard,0.08,58.71385360293357,217.9627618099164,41.90621566772461,10318,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,v240,2.65,240000
